"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti","mediaFC","mediaFD","mediaFF","mediaFS","mediaG","mediaI","mediaR","mediaCA","mediaPE","mediaA","mediaJSG","mediaDD","mediaFT","mediaGS","mediaCV","mediaGC","mediaPP","mediaDP"
38909,"Diego",4,24,20,9,13,55,6,4,19,3,70,3,0,0,1,0,0,0,0,0,0.833333333333333,0.375,0.541666666666667,2.29166666666667,0.25,0.166666666666667,0.791666666666667,0.125,2.91666666666667,0.125,0,0,0.0416666666666667,0,0,0,0,0
38910,"Ricardo Oliveira",5,38,19,13,19,26,11,24,0,5,28,2,0,0,1,0,0,0,0,0,0.5,0.342105263157895,0.5,0.684210526315789,0.289473684210526,0.631578947368421,0,0.131578947368421,0.736842105263158,0.0526315789473684,0,0,0.0263157894736842,0,0,0,0,0
38928,"Dudu Cearense",4,35,22,1,4,21,1,2,22,3,33,0,0,0,0,0,0,0,0,0,0.628571428571429,0.0285714285714286,0.114285714285714,0.6,0.0285714285714286,0.0571428571428571,0.628571428571429,0.0857142857142857,0.942857142857143,0,0,0,0,0,0,0,0,0
38957,"Rafael Marques",5,38,6,5,2,9,1,2,7,2,25,2,0,0,0,0,0,0,0,0,0.157894736842105,0.131578947368421,0.0526315789473684,0.236842105263158,0.0263157894736842,0.0526315789473684,0.184210526315789,0.0526315789473684,0.657894736842105,0.0526315789473684,0,0,0,0,0,0,0,0
38960,"Zé Eduardo",5,16,22,3,5,27,4,5,9,4,24,2,0,0,3,0,0,0,1,0,1.375,0.1875,0.3125,1.6875,0.25,0.3125,0.5625,0.25,1.5,0.125,0,0,0.1875,0,0,0,0.0625,0
39144,"Leandro Domingues",4,38,11,3,2,8,1,2,1,0,12,2,0,0,0,0,0,0,0,0,0.289473684210526,0.0789473684210526,0.0526315789473684,0.210526315789474,0.0263157894736842,0.0526315789473684,0.0263157894736842,0,0.315789473684211,0.0526315789473684,0,0,0,0,0,0,0,0
39152,"Jonas",2,38,38,3,4,10,3,3,21,6,62,1,5,0,0,0,0,0,0,0,1,0.0789473684210526,0.105263157894737,0.263157894736842,0.0789473684210526,0.0789473684210526,0.552631578947368,0.157894736842105,1.63157894736842,0.0263157894736842,0.131578947368421,0,0,0,0,0,0,0
39355,"Carpegiani",6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39431,"Givanildo Oliveira",6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39850,"Vagner Mancini",6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40025,"Levir Culpi",6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40179,"Kleber",5,38,71,15,16,90,9,10,19,6,63,2,0,0,0,0,1,0,1,0,1.86842105263158,0.394736842105263,0.421052631578947,2.36842105263158,0.236842105263158,0.263157894736842,0.5,0.157894736842105,1.65789473684211,0.0526315789473684,0,0,0,0,0.0263157894736842,0,0.0263157894736842,0
40990,"Dorival Júnior",6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41218,"Magrão",1,38,1,0,0,6,0,0,0,1,12,0,8,55,0,45,1,0,0,1,0.0263157894736842,0,0,0.157894736842105,0,0,0,0.0263157894736842,0.315789473684211,0,0.210526315789474,1.44736842105263,0,1.18421052631579,0.0263157894736842,0,0,0.0263157894736842
